Symbol,EntryDate,ExitDate,EntryPrice,ExitPrice
HINDPETRO,2015-05-28,2015-06-05,59.17316818237305,63.556373596191406
MARICO,2015-05-28,2015-06-05,176.92462158203125,189.5528717041016
SRF,2015-05-28,2015-06-05,192.06065368652344,205.63262939453125
UPL,2015-05-28,2015-06-05,312.6187744140625,331.44586181640625
COALINDIA,2015-05-28,2015-06-05,173.79432678222656,183.7682037353516
IDEA,2015-05-28,2015-06-05,100.8817901611328,106.60557556152344
HFCL,2015-06-05,2015-06-15,9.813108444213867,11.824796676635742
BAJAJ-AUTO,2015-06-05,2015-06-15,1696.4066162109375,1799.6881103515625
BAJFINANCE,2015-06-05,2015-06-15,431.9590148925781,457.6447448730469
ICICIBANK,2015-06-05,2015-06-15,239.1079864501953,251.8166656494141
GLENMARK,2015-06-05,2015-06-15,814.7708740234375,857.4303588867188
NBCC,2015-06-05,2015-06-15,28.35026741027832,29.75874137878418
M&MFIN,2015-06-15,2015-06-23,127.64055633544922,149.00856018066406
UNIONBANK,2015-06-15,2015-06-23,121.30193328857422,139.91493225097656
LICHSGFIN,2015-06-15,2015-06-23,325.3882141113281,372.9607849121094
BAJFINANCE,2015-06-15,2015-06-23,457.6447448730469,516.2467041015625
CYIENT,2015-06-15,2015-06-23,423.5140380859375,477.1583251953125
IOC,2015-06-15,2015-06-23,31.88937187194824,35.92406463623047
NBCC,2015-06-23,2015-07-01,31.43078994750977,38.88621520996094
IGL,2015-06-23,2015-07-01,32.242313385009766,37.17848587036133
SRF,2015-06-23,2015-07-01,213.2169647216797,235.086166381836
KEI,2015-06-23,2015-07-01,64.36219787597656,70.80810546875
LUPIN,2015-06-23,2015-07-01,1677.2542724609375,1775.1195068359375
BHEL,2015-06-23,2015-07-01,145.6740264892578,153.9794921875
HFCL,2015-07-01,2015-07-09,11.481338500976562,12.806107521057127
CGPOWER,2015-07-01,2015-07-09,55.83962631225586,62.06499099731445
BAJAJFINSV,2015-07-01,2015-07-09,154.9197998046875,170.12249755859375
HINDPETRO,2015-07-01,2015-07-09,68.73058319091797,74.91918182373047
CHOLAFIN,2015-07-01,2015-07-09,123.54193878173828,133.4326171875
IOC,2015-07-01,2015-07-09,35.35091018676758,37.76539993286133
COFORGE,2015-07-09,2015-07-17,329.31005859375,407.3890686035156
GRANULES,2015-07-09,2015-07-17,76.48680114746094,92.018798828125
APLAPOLLO,2015-07-09,2015-07-17,35.93761444091797,43.11008834838867
BSOFT,2015-07-09,2015-07-17,48.30742263793945,57.62126922607422
TATAELXSI,2015-07-09,2015-07-17,531.5111083984375,599.6321411132812
AARTIIND,2015-07-09,2015-07-17,77.98480987548828,87.16563415527344
TATAELXSI,2015-07-17,2015-07-27,599.6321411132812,753.9635620117188
KEI,2015-07-17,2015-07-27,81.56744384765625,96.30096435546876
GRANULES,2015-07-17,2015-07-27,92.018798828125,107.73847198486328
ABFRL,2015-07-17,2015-07-27,192.21290588378903,213.2577667236328
ASHOKLEY,2015-07-17,2015-07-27,59.4975471496582,64.0499496459961
INFY,2015-07-17,2015-07-27,394.7000427246094,419.6974792480469
UNIONBANK,2015-07-27,2015-08-04,135.4752960205078,178.37725830078125
BANKBARODA,2015-07-27,2015-08-04,138.66578674316406,173.94679260253906
HFCL,2015-07-27,2015-08-04,12.707977294921877,15.70097541809082
ADANIENT,2015-07-27,2015-08-04,41.531986236572266,49.8430290222168
BAJAJFINSV,2015-07-27,2015-08-04,170.8990936279297,201.7725372314453
PNB,2015-07-27,2015-08-04,129.03298950195312,151.9467315673828
COFORGE,2015-08-04,2015-08-12,406.6521911621094,463.9474487304688
GODREJPROP,2015-08-04,2015-08-12,261.25,295.1000061035156
DIVISLAB,2015-08-04,2015-08-12,894.4112548828125,1004.59765625
CUMMINSIND,2015-08-04,2015-08-12,859.2669067382812,950.8646850585938
CHAMBLFERT,2015-08-04,2015-08-12,48.59431457519531,53.13031005859375
AARTIIND,2015-08-04,2015-08-12,90.1294174194336,97.88622283935548
TATAELXSI,2015-08-12,2015-08-20,768.09619140625,946.342529296875
GRANULES,2015-08-12,2015-08-20,98.24415588378906,118.20441436767578
GLENMARK,2015-08-12,2015-08-20,997.1218872070312,1177.4482421875
BANKBARODA,2015-08-12,2015-08-20,160.28964233398438,183.0971069335937
KEI,2015-08-12,2015-08-20,99.64508819580078,111.03447723388672
CANBK,2015-08-12,2015-08-20,51.463809967041016,57.33133316040039
NMDC,2015-08-20,2015-08-28,4.406247615814209,4.692488670349121
PRESTIGE,2015-08-20,2015-08-28,192.8672332763672,201.3480529785156
PEL,2015-08-20,2015-08-28,411.6707458496094,425.5947570800781
MPHASIS,2015-08-20,2015-08-28,323.6000061035156,333.6200256347656
COALINDIA,2015-08-20,2015-08-28,158.60690307617188,162.0977325439453
M&MFIN,2015-08-20,2015-08-28,144.8134307861328,147.58197021484375
APLAPOLLO,2015-08-28,2015-09-07,40.8734016418457,45.71793746948242
NATIONALUM,2015-08-28,2015-09-07,17.26256561279297,18.803869247436523
CYIENT,2015-08-28,2015-09-07,440.3493347167969,472.9517211914063
TECHM,2015-08-28,2015-09-07,406.8234252929688,423.922119140625
BALKRISIND,2015-08-28,2015-09-07,288.6978454589844,300.1962585449219
INDUSTOWER,2015-08-28,2015-09-07,275.5016174316406,285.58648681640625
ABFRL,2015-09-07,2015-09-15,177.67373657226562,231.54263305664065
JSWENERGY,2015-09-07,2015-09-15,60.60502243041992,73.5854263305664
HFCL,2015-09-07,2015-09-15,12.070124626159668,14.37620449066162
NCC,2015-09-07,2015-09-15,48.1328239440918,54.76581573486328
NTPC,2015-09-07,2015-09-15,62.38912963867188,70.28474426269531
CONCOR,2015-09-07,2015-09-15,362.6909484863281,408.46527099609375
GRANULES,2015-09-15,2015-09-24,108.53099060058594,133.49313354492188
AARTIIND,2015-09-15,2015-09-24,96.54354095458984,114.49649810791016
TORNTPOWER,2015-09-15,2015-09-24,128.27264404296875,148.75038146972656
ZYDUSLIFE,2015-09-15,2015-09-24,322.3258361816406,367.74365234375
NCC,2015-09-15,2015-09-24,54.76581573486328,62.31520462036133
TRENT,2015-09-15,2015-09-24,116.55081939697266,128.74752807617188
JINDALSTEL,2015-09-24,2015-10-06,59.13302230834961,73.01471710205078
AARTIIND,2015-09-24,2015-10-06,114.49649810791016,132.007568359375
IRB,2015-09-24,2015-10-06,19.39130210876465,22.13589096069336
IDEA,2015-09-24,2015-10-06,83.36688995361328,94.98137664794922
VOLTAS,2015-09-24,2015-10-06,233.8862152099609,263.56011962890625
SHREECEM,2015-09-24,2015-10-06,10733.3876953125,12093.2705078125
VEDL,2015-10-06,2015-10-14,28.348182678222656,35.69157791137695
HINDALCO,2015-10-06,2015-10-14,70.89326477050781,83.74858093261719
NATIONALUM,2015-10-06,2015-10-14,20.288345336914062,22.98776626586914
HFCL,2015-10-06,2015-10-14,15.70097541809082,17.663597106933594
MUTHOOTFIN,2015-10-06,2015-10-14,135.9970245361328,150.15301513671875
TATASTEEL,2015-10-06,2015-10-14,8.0219087600708,8.757102966308594
COFORGE,2015-10-14,2015-10-23,389.1102294921875,458.972900390625
BSOFT,2015-10-14,2015-10-23,61.50031661987305,71.04890441894531
ABB,2015-10-14,2015-10-23,955.5387573242188,1087.0048828125
MPHASIS,2015-10-14,2015-10-23,316.5671081542969,356.3309020996094
