Date,AccountValue,StockList,SymbolAtLoss_1,Loss_1,SymbolAtLoss_2,Loss_2,SymbolAtLoss_3,Loss_3,SymbolAtLoss_4,Loss_4,SymbolAtLoss_5,Loss_5
2015-05-28,999000.8328806958,"['AUROPHARMA', 'INDUSINDBK', 'MARUTI', 'SIEMENS', 'TORNTPHARM', 'SOLARINDS']",,,,,,,,,,
2015-06-05,992817.7716837001,"['AUROPHARMA', 'EICHERMOT', 'SIEMENS', 'TORNTPHARM', 'LUPIN', 'MARUTI']",INDUSINDBK,-2.4377379457853046,,,,,,,,
2015-06-15,991064.4458309265,"['EICHERMOT', 'TORNTPHARM', 'MARUTI', 'SOLARINDS', 'BRITANNIA', 'MARICO']",SIEMENS,-2.478003501917507,LUPIN,-3.6446070577745577,AUROPHARMA,-2.6049737614585413,,,,
2015-06-23,1049008.8492448225,"['AUROPHARMA', 'BRITANNIA', 'EICHERMOT', 'SIEMENS', 'SOLARINDS', 'PAGEIND']",,,,,,,,,,
2015-07-01,1063649.6941216676,"['AUROPHARMA', 'BRITANNIA', 'INDUSINDBK', 'SOLARINDS', 'PAGEIND', 'EICHERMOT']",SIEMENS,-0.6035614181240896,,,,,,,,
2015-07-09,1073803.2071201554,"['AUROPHARMA', 'SOLARINDS', 'BRITANNIA', 'EICHERMOT', 'TORNTPHARM', 'CONCOR']",PAGEIND,-2.412703148431188,,,,,,,,
2015-07-17,1110476.0361799248,"['AUROPHARMA', 'BRITANNIA', 'EICHERMOT', 'TORNTPHARM', 'SOLARINDS', 'DABUR']",,,,,,,,,,
2015-07-27,1090977.8551101254,"['AUROPHARMA', 'EICHERMOT', 'INDUSINDBK', 'MARUTI', 'SOLARINDS', 'BRITANNIA']",,,,,,,,,,
2015-08-04,1133131.6257108883,"['AUROPHARMA', 'EICHERMOT', 'BRITANNIA', 'CHOLAFIN', 'DABUR', 'SIEMENS']",,,,,,,,,,
2015-08-12,1127294.3525493925,"['AUROPHARMA', 'EICHERMOT', 'BHARATFORG', 'BRITANNIA', 'DABUR', 'SIEMENS']",CHOLAFIN,-5.654732706995278,,,,,,,,
2015-08-20,1153740.300714047,"['AUROPHARMA', 'BRITANNIA', 'DABUR', 'EICHERMOT', 'INDUSINDBK', 'LUPIN']",SIEMENS,-1.4651426418272613,,,,,,,,
2015-08-28,1076406.4626702073,"['AUROPHARMA', 'BRITANNIA', 'TATAELXSI', 'LUPIN', 'OFSS', 'BHARATFORG']",DABUR,-5.828989769491077,EICHERMOT,-9.983562445931081,INDUSINDBK,-9.060187326029027,,,,
2015-09-07,1006586.1685298205,"['LUPIN', 'TATAELXSI', 'TORNTPHARM', 'KEI', 'CUMMINSIND', 'ASTRAL']",BHARATFORG,-14.132922778555143,AUROPHARMA,-6.722625401010348,OFSS,-4.418861724150929,BRITANNIA,-2.569105618662872,,
2015-09-15,1038434.0945969315,"['LUPIN', 'BRITANNIA', 'CUMMINSIND', 'TATAELXSI', 'TORNTPHARM', 'GODREJCP']",,,,,,,,,,
2015-09-24,1014328.1811802546,"['SOLARINDS', 'TATAELXSI', 'OFSS', 'MARUTI', 'KEI', 'ASHOKLEY']",GODREJCP,-7.882346432503925,TORNTPHARM,-6.71328516997332,BRITANNIA,-6.050523636387122,,,,
2015-10-06,1026916.369239245,"['TATAELXSI', 'TORNTPHARM', 'OFSS', 'MARUTI', 'KEI', 'ASHOKLEY']",SOLARINDS,-4.902411805715963,,,,,,,,
