Symbol,EntryDate,ExitDate,EntryPrice,ExitPrice
AUROPHARMA,5/28/2015,6/5/2015,619.2670288,622.9467773
INDUSINDBK,5/28/2015,6/5/2015,805.4051514,785.7714844
MARUTI,5/28/2015,6/5/2015,3372.791748,3418.760254
NIFTY200,5/28/2015,6/5/2015,4339.85,4234.05
SIEMENS,5/28/2015,6/5/2015,1292.40625,1259.563843
SOLARINDS,5/28/2015,6/5/2015,668.1693115,670.1499634
TORNTPHARM,5/28/2015,6/5/2015,544.9664307,541.755249
AUROPHARMA,6/5/2015,6/15/2015,622.9467773,606.7191772
EICHERMOT,6/5/2015,6/15/2015,1508.451294,1563.588013
LUPIN,6/5/2015,6/15/2015,1682.320313,1621.006348
MARUTI,6/5/2015,6/15/2015,3418.760254,3425.990234
NIFTY200,6/5/2015,6/15/2015,4234.05,4171.7
SIEMENS,6/5/2015,6/15/2015,1259.563843,1228.351807
TORNTPHARM,6/5/2015,6/15/2015,541.755249,565.3656616
BRITANNIA,6/15/2015,6/23/2015,1154.457642,1205.311646
EICHERMOT,6/15/2015,6/23/2015,1563.588013,1671.953979
MARICO,6/15/2015,6/23/2015,179.8388214,192.2944031
MARUTI,6/15/2015,6/23/2015,3425.990234,3653.107178
NIFTY200,6/15/2015,6/23/2015,4171.7,4367.55
SOLARINDS,6/15/2015,6/23/2015,681.1154785,720.1550293
TORNTPHARM,6/15/2015,6/23/2015,565.3656616,593.9886475
AUROPHARMA,6/23/2015,7/1/2015,663.3377075,695.8642578
BRITANNIA,6/23/2015,7/1/2015,1205.311646,1202.164673
EICHERMOT,6/23/2015,7/1/2015,1671.953979,1765.240479
NIFTY200,6/23/2015,7/1/2015,4367.55,4403.75
PAGEIND,6/23/2015,7/1/2015,13683.36621,13825.98926
SIEMENS,6/23/2015,7/1/2015,1296.645142,1288.819092
SOLARINDS,6/23/2015,7/1/2015,720.1550293,702.2715454
AUROPHARMA,7/1/2015,7/9/2015,695.8642578,688.9265747
BRITANNIA,7/1/2015,7/9/2015,1202.164673,1242.80835
EICHERMOT,7/1/2015,7/9/2015,1765.240479,1790.293457
INDUSINDBK,7/1/2015,7/9/2015,824.4738159,840.9058228
NIFTY200,7/1/2015,7/9/2015,4403.75,4360.4
PAGEIND,7/1/2015,7/9/2015,13825.98926,13492.40918
SOLARINDS,7/1/2015,7/9/2015,702.2715454,724.3841553
AUROPHARMA,7/9/2015,7/17/2015,688.9265747,720.241272
BRITANNIA,7/9/2015,7/17/2015,1242.80835,1266.81604
CONCOR,7/9/2015,7/17/2015,500.7660828,513.130249
EICHERMOT,7/9/2015,7/17/2015,1790.293457,1830.143311
NIFTY200,7/9/2015,7/17/2015,4360.4,4506.1
SOLARINDS,7/9/2015,7/17/2015,724.3841553,771.1647339
TORNTPHARM,7/9/2015,7/17/2015,571.0903931,589.4574585
AUROPHARMA,7/17/2015,7/27/2015,720.241272,702.1367188
BRITANNIA,7/17/2015,7/27/2015,1266.81604,1297.554443
DABUR,7/17/2015,7/27/2015,266.9602356,270.8909302
EICHERMOT,7/17/2015,7/27/2015,1830.143311,1678.124634
NIFTY200,7/17/2015,7/27/2015,4506.1,4378.45
SOLARINDS,7/17/2015,7/27/2015,771.1647339,719.7435913
TORNTPHARM,7/17/2015,7/27/2015,589.4574585,614.6325684
AUROPHARMA,7/27/2015,8/4/2015,702.1367188,716.772522
BRITANNIA,7/27/2015,8/4/2015,1297.554443,1405.381714
EICHERMOT,7/27/2015,8/4/2015,1678.124634,1750.126953
INDUSINDBK,7/27/2015,8/4/2015,883.5631104,896.74646
MARUTI,7/27/2015,8/4/2015,3799.47168,4036.546387
NIFTY200,7/27/2015,8/4/2015,4378.45,4484.2
SOLARINDS,7/27/2015,8/4/2015,719.7435913,729.1397095
AUROPHARMA,8/4/2015,8/12/2015,716.772522,707.2211304
BRITANNIA,8/4/2015,8/12/2015,1405.381714,1490.019165
CHOLAFIN,8/4/2015,8/12/2015,131.5835266,124.1428299
DABUR,8/4/2015,8/12/2015,267.0973816,272.76474
EICHERMOT,8/4/2015,8/12/2015,1750.126953,1721.595703
NIFTY200,8/4/2015,8/12/2015,4484.2,4389.65
SIEMENS,8/4/2015,8/12/2015,1375.280762,1338.61853
AUROPHARMA,8/12/2015,8/20/2015,707.2211304,759.206604
BHARATFORG,8/12/2015,8/20/2015,543.3045044,587.1107788
BRITANNIA,8/12/2015,8/20/2015,1490.019165,1426.955688
DABUR,8/12/2015,8/20/2015,272.76474,272.0791626
EICHERMOT,8/12/2015,8/20/2015,1721.595703,1822.935425
NIFTY200,8/12/2015,8/20/2015,4389.65,4407.7
SIEMENS,8/12/2015,8/20/2015,1338.61853,1319.005859
AUROPHARMA,8/20/2015,8/28/2015,759.206604,719.3134766
BRITANNIA,8/20/2015,8/28/2015,1426.955688,1316.052979
DABUR,8/20/2015,8/28/2015,272.0791626,256.219696
EICHERMOT,8/20/2015,8/28/2015,1822.935425,1640.941528
INDUSINDBK,8/20/2015,8/28/2015,881.4298096,801.5706177
LUPIN,8/20/2015,8/28/2015,1797.358398,1769.122192
NIFTY200,8/20/2015,8/28/2015,4407.7,4209.25
AUROPHARMA,8/28/2015,9/7/2015,719.3134766,670.9567261
BHARATFORG,8/28/2015,9/7/2015,550.8734741,473.0189514
BRITANNIA,8/28/2015,9/7/2015,1316.052979,1282.242188
LUPIN,8/28/2015,9/7/2015,1769.122192,1715.93042
NIFTY200,8/28/2015,9/7/2015,4209.25,3971.95
OFSS,8/28/2015,9/7/2015,2551.805176,2439.044434
TATAELXSI,8/28/2015,9/7/2015,840.7200928,777.1347046
ASTRAL,9/7/2015,9/15/2015,184.1976013,192.0717773
CUMMINSIND,9/7/2015,9/15/2015,894.0689087,925.2054443
KEI,9/7/2015,9/15/2015,93.63536072,94.46270752
LUPIN,9/7/2015,9/15/2015,1715.93042,1745.497314
NIFTY200,9/7/2015,9/15/2015,3971.95,4113.25
TATAELXSI,9/7/2015,9/15/2015,777.1347046,864.1842041
TORNTPHARM,9/7/2015,9/15/2015,675.7687378,663.744812
BRITANNIA,9/15/2015,9/24/2015,1360.816895,1278.480347
CUMMINSIND,9/15/2015,9/24/2015,925.2054443,927.5649414
GODREJCP,9/15/2015,9/24/2015,397.1652222,365.8592834
LUPIN,9/15/2015,9/24/2015,1745.497314,1892.23877
NIFTY200,9/15/2015,9/24/2015,4113.25,4126.75
TATAELXSI,9/15/2015,9/24/2015,864.1842041,850.4572754
TORNTPHARM,9/15/2015,9/24/2015,663.744812,619.18573
ASHOKLEY,9/24/2015,10/6/2015,72.12546539,74.69853973
KEI,9/24/2015,10/6/2015,96.26337433,102.7847519
MARUTI,9/24/2015,10/6/2015,4177.683105,3983.146484
NIFTY200,9/24/2015,10/6/2015,4126.75,4285.45
OFSS,9/24/2015,10/6/2015,2536.61792,2619.195313
SOLARINDS,9/24/2015,10/6/2015,695.472168,661.3772583
TATAELXSI,9/24/2015,10/6/2015,850.4572754,880.1876831
ASHOKLEY,10/6/2015,10/14/2015,74.69853973,75.09439087
KEI,10/6/2015,10/14/2015,102.7847519,107.7974548
MARUTI,10/6/2015,10/14/2015,3983.146484,3887.776123
NIFTY200,10/6/2015,10/14/2015,4285.45,4258.4
OFSS,10/6/2015,10/14/2015,2619.195313,2544.444824
TATAELXSI,10/6/2015,10/14/2015,880.1876831,833.0338745
TORNTPHARM,10/6/2015,10/14/2015,693.8929443,682.5099487
AARTIIND,10/14/2015,10/23/2015,121.8683472,119.9846954
ASHOKLEY,10/14/2015,10/23/2015,75.09439087,75.21315002
INDUSINDBK,10/14/2015,10/23/2015,898.2622681,907.6240845
KEI,10/14/2015,10/23/2015,107.7974548,101.4707565
NIFTY200,10/14/2015,10/23/2015,4258.4,4339.5
OFSS,10/14/2015,10/23/2015,2544.444824,2622.25415
