"Date","Price","Open","High","Low","Vol.","Change %"
"30-05-2025","13,798.40","13,841.80","13,870.70","13,775.60","3.55B","-0.31%"
"29-05-2025","13,841.55","13,841.20","13,868.10","13,766.75","1.52B","0.34%"
"28-05-2025","13,794.75","13,839.95","13,857.15","13,785.65","2.18B","-0.25%"
"27-05-2025","13,829.30","13,884.90","13,927.35","13,767.70","1.76B","-0.50%"
"26-05-2025","13,898.20","13,859.05","13,937.90","13,853.75","1.66B","0.58%"
"23-05-2025","13,817.85","13,718.65","13,839.50","13,696.85","1.33B","0.87%"
"22-05-2025","13,698.55","13,757.05","13,758.60","13,618.25","1.68B","-0.70%"
"21-05-2025","13,795.20","13,734.40","13,846.80","13,701.55","1.70B","0.66%"
"20-05-2025","13,704.90","13,919.80","13,927.45","13,693.55","2.22B","-1.26%"
"19-05-2025","13,879.40","13,904.35","13,940.80","13,865.35","2.99B","-0.12%"
"16-05-2025","13,896.35","13,880.15","13,907.45","13,838.85","2.32B","0.22%"
"15-05-2025","13,865.80","13,701.65","13,884.60","13,611.00","2.28B","1.37%"
"14-05-2025","13,677.95","13,630.55","13,718.55","13,602.80","1.89B","0.54%"
"13-05-2025","13,604.90","13,715.25","13,766.55","13,588.75","1.96B","-0.94%"
"12-05-2025","13,733.80","13,492.25","13,743.55","13,477.30","2.21B","3.90%"
"09-05-2025","13,217.70","13,111.35","13,262.35","13,111.35","2.34B","-0.82%"
"08-05-2025","13,326.75","13,482.95","13,498.45","13,257.80","1.84B","-1.02%"
"07-05-2025","13,464.40","13,295.10","13,471.45","13,292.35","1.79B","0.43%"
"06-05-2025","13,407.25","13,559.40","13,561.25","13,383.35","1.90B","-0.95%"
"05-05-2025","13,535.80","13,471.15","13,548.25","13,465.90","1.39B","0.84%"
"02-05-2025","13,423.50","13,423.60","13,572.20","13,368.50","1.57B","-0.11%"
"30-04-2025","13,438.15","13,475.70","13,509.45","13,368.55","1.72B","-0.23%"
"29-04-2025","13,469.00","13,496.90","13,551.45","13,451.05","1.64B","0.03%"
"28-04-2025","13,464.60","13,300.05","13,478.35","13,297.45","1.48B","1.26%"
"25-04-2025","13,296.85","13,505.15","13,545.05","13,189.65","3.37B","-1.36%"
"24-04-2025","13,480.20","13,502.90","13,538.15","13,463.45","1.72B","-0.28%"
"23-04-2025","13,517.55","13,512.75","13,524.20","13,371.30","2.01B","0.76%"
"22-04-2025","13,416.00","13,417.05","13,462.30","13,346.30","1.94B","0.28%"
"21-04-2025","13,378.65","13,249.40","13,399.55","13,219.20","2.69B","1.46%"
"17-04-2025","13,186.10","12,984.20","13,199.70","12,934.80","1.90B","1.42%"
"16-04-2025","13,001.00","12,944.75","13,008.35","12,907.05","1.74B","0.54%"
"15-04-2025","12,931.70","12,908.10","12,947.75","12,820.15","1.76B","2.44%"
"11-04-2025","12,623.85","12,584.25","12,674.65","12,561.25","1.73B","1.82%"
"09-04-2025","12,397.95","12,430.40","12,430.60","12,338.05","1.63B","-0.54%"
"08-04-2025","12,465.00","12,428.65","12,537.30","12,310.70","1.92B","1.82%"
"07-04-2025","12,242.35","11,945.10","12,291.40","11,941.45","2.53B","-3.29%"
"04-04-2025","12,658.70","12,873.15","12,882.05","12,623.25","1.97B","-1.88%"
"03-04-2025","12,901.25","12,824.80","12,913.90","12,822.20","1.75B","-0.21%"
"02-04-2025","12,927.85","12,827.65","12,936.10","12,784.15","2.01B","0.93%"
"01-04-2025","12,809.30","12,907.75","13,018.80","12,791.45","3.39B","-1.34%"
"28-03-2025","12,982.75","13,043.20","13,085.15","12,945.35","2.13B","-0.36%"
"27-03-2025","13,029.20","12,917.25","13,055.20","12,909.90","3.46B","0.60%"
"26-03-2025","12,951.45","13,056.75","13,097.60","12,937.00","1.79B","-0.69%"
"25-03-2025","13,041.25","13,153.65","13,185.55","13,009.45","1.76B","-0.36%"
"24-03-2025","13,088.45","13,014.25","13,121.35","12,967.80","1.78B","1.30%"
"21-03-2025","12,919.90","12,806.00","12,943.75","12,786.50","2.49B","0.83%"
"20-03-2025","12,813.55","12,757.20","12,827.75","12,691.95","1.57B","1.04%"
"19-03-2025","12,681.65","12,602.30","12,700.40","12,568.50","1.94B","0.88%"
"18-03-2025","12,570.60","12,437.40","12,584.20","12,405.95","1.33B","1.74%"
"17-03-2025","12,355.95","12,275.25","12,395.65","12,275.15","1.21B","0.56%"
"13-03-2025","12,286.60","12,383.95","12,397.80","12,275.55","1.38B","-0.42%"
"12-03-2025","12,338.45","12,388.75","12,416.60","12,241.85","1.68B","-0.18%"
"11-03-2025","12,360.10","12,242.95","12,378.05","12,219.35","1.54B","0.30%"
"10-03-2025","12,323.40","12,408.15","12,483.10","12,304.45","1.51B","-0.75%"
"07-03-2025","12,416.00","12,413.40","12,478.90","12,381.70","1.38B","-0.09%"
"06-03-2025","12,427.45","12,414.25","12,438.40","12,307.90","1.47B","0.87%"
"05-03-2025","12,320.75","12,121.60","12,335.15","12,121.60","1.62B","1.56%"
"04-03-2025","12,131.40","12,041.60","12,152.45","12,013.55","1.56B","-0.03%"
"03-03-2025","12,134.65","12,150.65","12,193.55","12,007.05","1.77B","0.15%"
"28-02-2025","12,116.15","12,303.95","12,312.90","12,086.30","2.42B","-2.12%"
"27-02-2025","12,377.95","12,430.75","12,452.40","12,356.90","1.43B","-0.33%"
"25-02-2025","12,418.65","12,432.25","12,492.95","12,400.30","1.05B","-0.23%"
"24-02-2025","12,447.00","12,471.25","12,493.00","12,422.70","1.07B","-1.06%"
"21-02-2025","12,580.35","12,644.25","12,699.00","12,538.35","1.34B","-0.71%"
"20-02-2025","12,670.15","12,570.80","12,674.60","12,565.55","1.12B","0.36%"
"19-02-2025","12,624.75","12,516.55","12,674.00","12,487.40","1.28B","0.39%"
"18-02-2025","12,576.15","12,593.10","12,611.85","12,483.25","1.25B","-0.07%"
"17-02-2025","12,585.50","12,498.45","12,595.65","12,406.30","1.42B","0.13%"
"14-02-2025","12,569.35","12,739.45","12,753.80","12,476.85","1.50B","-1.03%"
"13-02-2025","12,700.80","12,709.85","12,829.80","12,676.85","1.66B","0.03%"
"12-02-2025","12,697.25","12,699.30","12,755.55","12,496.15","1.90B","-0.12%"
"11-02-2025","12,712.75","12,944.65","12,949.65","12,659.25","1.30B","-1.78%"
"10-02-2025","12,943.05","13,087.80","13,100.75","12,904.30","1.08B","-1.14%"
"07-02-2025","13,092.85","13,127.95","13,167.05","13,022.20","1.68B","-0.09%"
"06-02-2025","13,104.45","13,230.15","13,236.40","13,075.90","1.15B","-0.59%"
"05-02-2025","13,182.15","13,211.95","13,245.40","13,169.75","1.43B","0.09%"
"04-02-2025","13,170.85","13,056.55","13,181.95","13,013.40","1.66B","1.60%"
"03-02-2025","12,963.85","12,964.85","12,975.30","12,887.55","1.79B","-0.71%"
"01-02-2025","13,056.70","13,091.85","13,142.40","12,945.90","2.32B","-0.06%"
"31-01-2025","13,064.55","12,923.30","13,086.65","12,903.65","1.75B","1.30%"
"30-01-2025","12,896.75","12,881.10","12,949.50","12,839.90","1.47B","0.27%"
"29-01-2025","12,862.50","12,730.95","12,872.15","12,723.90","1.27B","1.29%"
"28-01-2025","12,698.10","12,723.20","12,805.60","12,610.90","1.87B","0.34%"
"27-01-2025","12,654.75","12,776.15","12,779.10","12,629.80","1.73B","-1.66%"
"24-01-2025","12,868.50","12,970.45","13,023.40","12,844.80","1.25B","-0.83%"
"23-01-2025","12,976.35","12,888.95","13,006.20","12,865.95","1.34B","0.61%"
"22-01-2025","12,897.70","12,928.35","12,938.35","12,771.30","1.58B","0.03%"
"21-01-2025","12,893.90","13,147.55","13,151.45","12,880.45","1.86B","-1.72%"
"20-01-2025","13,119.45","13,098.30","13,148.25","13,014.15","2.91B","0.58%"
"17-01-2025","13,043.55","13,054.65","13,075.95","12,975.10","1.48B","-0.16%"
"16-01-2025","13,064.95","13,087.60","13,104.30","13,052.50","1.72B","0.69%"
"15-01-2025","12,975.40","12,989.10","13,023.70","12,919.45","2.55B","0.31%"
"14-01-2025","12,935.25","12,851.70","12,970.05","12,849.80","1.99B","1.06%"
"13-01-2025","12,799.60","12,961.75","13,015.95","12,777.00","2.02B","-2.33%"
"10-01-2025","13,105.35","13,234.20","13,251.70","13,070.10","1.45B","-0.93%"
"09-01-2025","13,228.50","13,337.05","13,342.25","13,218.45","1.26B","-0.82%"
"08-01-2025","13,337.50","13,407.60","13,410.60","13,228.50","1.32B","-0.36%"
"07-01-2025","13,385.55","13,363.20","13,449.60","13,340.55","1.40B","0.40%"
"06-01-2025","13,331.80","13,635.55","13,637.65","13,293.45","1.73B","-2.05%"
"03-01-2025","13,610.50","13,702.55","13,707.80","13,594.05","1.66B","-0.54%"
"02-01-2025","13,685.05","13,486.55","13,693.80","13,463.20","1.41B","1.65%"
"01-01-2025","13,462.45","13,407.00","13,490.00","13,362.05","1.03B","0.41%"
"31-12-2024","13,406.95","13,355.90","13,435.15","13,290.35","1.28B","-0.01%"
"30-12-2024","13,408.85","13,454.90","13,516.65","13,356.10","2.47B","-0.38%"
"27-12-2024","13,459.75","13,483.05","13,538.20","13,452.60","767.97M","0.03%"
"26-12-2024","13,456.35","13,462.75","13,492.85","13,394.20","955.54M","0.15%"
"24-12-2024","13,436.00","13,460.50","13,511.00","13,408.45","974.84M","-0.10%"
"23-12-2024","13,449.75","13,452.95","13,525.05","13,399.55","1.13B","0.57%"
"20-12-2024","13,373.90","13,653.60","13,699.15","13,348.65","1.91B","-1.94%"
"19-12-2024","13,638.15","13,558.65","13,659.95","13,555.20","1.19B","-0.88%"
"18-12-2024","13,759.30","13,843.65","13,874.55","13,725.75","1.31B","-0.71%"
"17-12-2024","13,858.00","13,988.90","14,013.95","13,840.00","1.44B","-1.17%"
"16-12-2024","14,021.75","14,040.00","14,062.30","13,979.45","932.46M","-0.10%"
"13-12-2024","14,035.90","13,926.85","14,046.35","13,735.75","1.62B","0.57%"
"12-12-2024","13,956.45","13,996.45","14,026.90","13,947.90","1.33B","-0.37%"
"11-12-2024","14,007.60","13,986.80","14,030.35","13,973.25","1.16B","0.16%"
"10-12-2024","13,985.45","13,997.85","14,006.90","13,925.60","1.40B","0.06%"
"09-12-2024","13,977.20","13,977.00","14,018.15","13,951.45","1.40B","-0.14%"
"06-12-2024","13,996.80","14,004.75","14,029.55","13,949.20","1.75B","0.10%"
"05-12-2024","13,983.40","13,916.25","14,037.95","13,793.95","2.15B","0.85%"
"04-12-2024","13,866.20","13,857.65","13,898.60","13,794.05","1.83B","0.29%"
"03-12-2024","13,825.85","13,771.00","13,832.70","13,739.50","1.49B","0.79%"
"02-12-2024","13,716.95","13,631.70","13,722.80","13,578.40","1.25B","0.66%"
"29-11-2024","13,627.00","13,536.00","13,662.30","13,535.50","1.78B","0.76%"
"28-11-2024","13,524.75","13,664.95","13,720.80","13,499.30","2.35B","-0.92%"
"27-11-2024","13,649.85","13,592.10","13,680.40","13,552.45","2.23B","0.55%"
"26-11-2024","13,575.55","13,641.20","13,651.05","13,553.75","2.72B","-0.03%"
"25-11-2024","13,579.75","13,603.45","13,662.35","13,556.95","3.08B","1.41%"
"22-11-2024","13,390.80","13,155.50","13,414.20","13,126.15","1.85B","1.99%"
"21-11-2024","13,129.70","13,208.50","13,213.05","13,057.50","2.17B","-0.87%"
"19-11-2024","13,244.80","13,238.65","13,386.45","13,212.45","1.41B","0.41%"
"18-11-2024","13,191.00","13,276.40","13,276.45","13,128.65","1.53B","-0.22%"
"14-11-2024","13,220.40","13,205.80","13,300.35","13,189.30","1.44B","0.14%"
"13-11-2024","13,201.95","13,390.65","13,424.85","13,171.95","1.75B","-1.68%"
"12-11-2024","13,427.80","13,632.10","13,661.05","13,401.45","1.22B","-1.17%"
"11-11-2024","13,586.75","13,569.80","13,694.55","13,506.80","1.41B","-0.11%"
"08-11-2024","13,602.30","13,688.90","13,719.30","13,575.00","1.40B","-0.58%"
"07-11-2024","13,681.75","13,842.60","13,846.85","13,674.15","1.46B","-1.03%"
"06-11-2024","13,824.10","13,680.85","13,840.35","13,637.70","1.61B","1.51%"
"05-11-2024","13,618.85","13,476.80","13,628.95","13,405.65","1.69B","0.78%"
"04-11-2024","13,513.55","13,697.30","13,697.95","13,416.85","1.83B","-1.29%"
"01-11-2024","13,690.35","13,683.15","13,726.80","13,676.15","479.34M","0.53%"
"31-10-2024","13,618.20","13,694.90","13,708.80","13,586.75","1.88B","-0.52%"
"30-10-2024","13,688.70","13,696.25","13,784.10","13,664.70","2.25B","-0.39%"
"29-10-2024","13,742.30","13,663.65","13,751.50","13,534.90","1.85B","0.64%"
"28-10-2024","13,655.35","13,599.70","13,724.45","13,520.00","2.33B","0.65%"
"25-10-2024","13,567.50","13,744.45","13,753.85","13,491.65","1.99B","-1.15%"
"24-10-2024","13,725.55","13,750.90","13,782.50","13,697.05","1.40B","-0.20%"
"23-10-2024","13,753.45","13,711.35","13,844.80","13,681.90","1.95B","0.02%"
"22-10-2024","13,751.30","14,000.60","14,027.65","13,736.30","1.72B","-1.70%"
"21-10-2024","13,989.40","14,133.55","14,154.45","13,966.05","1.42B","-0.65%"
"18-10-2024","14,080.50","13,980.65","14,099.90","13,899.15","1.32B","0.34%"
"17-10-2024","14,033.05","14,229.80","14,231.70","14,026.25","1.22B","-1.21%"
"16-10-2024","14,205.50","14,230.30","14,274.20","14,165.00","1.17B","-0.33%"
"15-10-2024","14,252.40","14,311.25","14,320.05","14,215.20","1.17B","-0.12%"
"14-10-2024","14,269.35","14,228.45","14,278.90","14,215.10","1.10B","0.53%"
"11-10-2024","14,194.00","14,197.50","14,220.75","14,157.05","1.13B","0.00%"
"10-10-2024","14,194.25","14,254.65","14,290.35","14,183.50","1.22B","-0.04%"
"09-10-2024","14,199.75","14,216.20","14,329.95","14,181.95","1.70B","0.22%"
"08-10-2024","14,168.15","13,980.85","14,187.85","13,942.20","1.87B","1.35%"
"07-10-2024","13,978.90","14,214.25","14,240.05","13,921.65","2.29B","-1.31%"
"04-10-2024","14,165.05","14,267.35","14,407.65","14,139.95","1.90B","-0.95%"
"03-10-2024","14,300.20","14,412.50","14,526.55","14,278.10","1.92B","-2.17%"
"01-10-2024","14,616.80","14,609.70","14,662.60","14,573.00","1.41B","0.04%"
"30-09-2024","14,610.80","14,728.80","14,757.20","14,597.90","1.76B","-1.18%"
"27-09-2024","14,784.80","14,806.15","14,833.75","14,770.20","3.11B","-0.03%"
"26-09-2024","14,789.35","14,709.05","14,799.90","14,684.55","2.22B","0.64%"
"25-09-2024","14,696.00","14,687.45","14,708.30","14,630.50","1.47B","-0.03%"
"24-09-2024","14,700.15","14,695.30","14,726.90","14,674.05","1.84B","0.05%"
"23-09-2024","14,693.20","14,638.30","14,701.85","14,623.25","2.84B","0.77%"
"20-09-2024","14,580.90","14,426.15","14,611.25","14,384.75","3.30B","1.49%"
"19-09-2024","14,367.00","14,447.65","14,494.25","14,286.65","3.89B","-0.09%"
"18-09-2024","14,380.45","14,417.95","14,439.25","14,321.85","1.29B","-0.28%"
"17-09-2024","14,420.55","14,437.30","14,437.30","14,387.55","1.11B","0.04%"
"16-09-2024","14,415.50","14,434.10","14,451.30","14,387.50","1.24B","0.17%"
"13-09-2024","14,391.40","14,426.05","14,426.05","14,369.45","1.46B","-0.02%"
"12-09-2024","14,394.65","14,243.10","14,412.40","14,188.05","1.74B","1.72%"
"11-09-2024","14,151.50","14,222.95","14,269.40","14,130.20","1.73B","-0.44%"
"10-09-2024","14,213.50","14,190.45","14,264.75","14,144.25","1.64B","0.53%"
"09-09-2024","14,139.00","14,092.35","14,153.15","14,015.55","1.82B","0.22%"
"06-09-2024","14,107.40","14,267.75","14,292.15","14,080.15","3.16B","-1.25%"
"05-09-2024","14,286.00","14,335.70","14,344.95","14,276.70","1.50B","-0.05%"
"04-09-2024","14,293.85","14,219.20","14,302.35","14,217.00","1.33B","-0.23%"
"03-09-2024","14,326.80","14,349.60","14,349.70","14,315.50","1.26B","0.06%"
"02-09-2024","14,318.05","14,354.95","14,354.95","14,277.50","1.94B","0.16%"
"30-08-2024","14,295.70","14,298.15","14,317.45","14,269.55","6.19B","0.38%"
"29-08-2024","14,240.95","14,217.50","14,255.25","14,153.00","1.99B","0.16%"
"28-08-2024","14,218.45","14,227.65","14,257.80","14,172.85","1.44B","0.09%"
"27-08-2024","14,206.00","14,207.90","14,228.80","14,179.25","1.43B","0.10%"
"26-08-2024","14,191.75","14,152.85","14,202.35","14,125.80","1.23B","0.66%"
"23-08-2024","14,099.20","14,138.10","14,145.70","14,088.05","1.61B","-0.09%"
"22-08-2024","14,112.60","14,130.30","14,131.85","14,090.45","1.36B","0.30%"
"21-08-2024","14,070.80","14,029.95","14,080.50","14,011.80","1.36B","0.29%"
"20-08-2024","14,030.80","13,993.40","14,038.90","13,966.15","1.44B","0.61%"
"19-08-2024","13,946.05","13,983.25","13,987.90","13,926.75","1.42B","0.23%"
"16-08-2024","13,914.70","13,787.20","13,925.80","13,720.90","1.47B","1.71%"
"14-08-2024","13,680.85","13,724.65","13,732.60","13,642.20","1.71B","-0.08%"
"13-08-2024","13,691.50","13,829.00","13,836.95","13,678.15","1.84B","-0.89%"
"12-08-2024","13,814.30","13,787.10","13,863.15","13,720.95","1.73B","-0.08%"
"09-08-2024","13,826.05","13,836.15","13,859.65","13,791.80","1.47B","1.02%"
"08-08-2024","13,686.40","13,769.70","13,807.65","13,668.15","1.76B","-0.68%"
"07-08-2024","13,779.45","13,738.95","13,793.00","13,669.75","1.73B","1.77%"
"06-08-2024","13,540.15","13,688.55","13,816.15","13,518.10","1.87B","-0.44%"
"05-08-2024","13,600.20","13,731.25","13,786.20","13,508.00","3.13B","-2.95%"
"02-08-2024","14,012.90","14,040.60","14,097.45","13,999.10","2.34B","-1.08%"
"01-08-2024","14,165.80","14,215.75","14,234.65","14,121.40","2.12B","-0.04%"
"31-07-2024","14,170.80","14,138.80","14,184.65","14,121.45","2.44B","0.46%"
"30-07-2024","14,105.55","14,101.50","14,164.65","14,075.55","2.00B","0.11%"
"29-07-2024","14,089.80","14,112.40","14,156.60","14,049.45","2.56B","0.36%"
"26-07-2024","14,039.20","13,831.05","14,049.35","13,827.85","2.48B","1.73%"
"25-07-2024","13,801.00","13,696.00","13,813.85","13,684.05","2.46B","0.02%"
"24-07-2024","13,797.75","13,780.35","13,834.10","13,740.25","2.17B","0.07%"
"23-07-2024","13,788.65","13,882.20","13,886.75","13,477.00","3.37B","-0.33%"
"22-07-2024","13,834.20","13,738.30","13,871.15","13,689.65","2.13B","0.33%"
"19-07-2024","13,788.15","14,002.05","14,002.10","13,775.80","1.99B","-1.42%"
"18-07-2024","13,987.40","13,932.85","13,996.95","13,842.15","2.48B","0.19%"
"16-07-2024","13,960.90","13,994.85","14,006.25","13,948.45","2.45B","-0.06%"
"15-07-2024","13,968.65","13,949.90","13,983.00","13,898.00","2.55B","0.53%"
"12-07-2024","13,895.30","13,876.00","13,947.70","13,838.60","2.54B","0.48%"
"11-07-2024","13,828.90","13,863.50","13,865.60","13,764.70","2.52B","0.09%"
"10-07-2024","13,816.35","13,893.20","13,893.60","13,650.90","2.38B","-0.34%"
"09-07-2024","13,863.20","13,832.55","13,869.05","13,807.00","2.27B","0.46%"
"08-07-2024","13,800.40","13,825.85","13,832.95","13,755.55","2.81B","-0.05%"
"05-07-2024","13,807.25","13,737.45","13,823.70","13,714.40","3.11B","0.30%"
"04-07-2024","13,766.60","13,785.95","13,804.55","13,744.95","2.01B","0.21%"
"03-07-2024","13,737.60","13,722.95","13,749.95","13,684.75","2.24B","0.75%"
"02-07-2024","13,635.30","13,714.55","13,717.10","13,586.25","2.17B","-0.24%"
"01-07-2024","13,668.70","13,584.25","13,676.05","13,576.70","2.09B","0.66%"
"28-06-2024","13,579.25","13,604.20","13,653.55","13,565.80","3.60B","0.03%"
"27-06-2024","13,575.80","13,506.60","13,599.45","13,480.40","3.43B","0.59%"
"26-06-2024","13,496.15","13,451.90","13,509.85","13,412.40","3.02B","0.34%"
"25-06-2024","13,451.05","13,428.30","13,465.20","13,389.40","1.93B","0.40%"
"24-06-2024","13,397.05","13,305.50","13,404.80","13,264.15","2.38B","0.27%"
"21-06-2024","13,361.10","13,459.35","13,459.85","13,326.70","3.80B","-0.33%"
"20-06-2024","13,405.90","13,400.75","13,423.00","13,333.65","2.26B","0.32%"
"19-06-2024","13,362.80","13,465.30","13,465.30","13,306.10","4.11B","-0.44%"
"18-06-2024","13,421.90","13,422.05","13,428.80","13,380.30","2.27B","0.46%"
"14-06-2024","13,360.60","13,325.85","13,370.25","13,263.80","2.53B","0.59%"
"13-06-2024","13,282.50","13,317.65","13,317.70","13,237.85","2.12B","0.47%"
"12-06-2024","13,219.95","13,212.25","13,263.90","13,190.50","2.59B","0.43%"
"11-06-2024","13,162.70","13,170.40","13,230.90","13,126.20","2.75B","0.13%"
"10-06-2024","13,145.95","13,181.20","13,230.90","13,117.30","2.87B","0.03%"
"07-06-2024","13,142.00","12,909.75","13,153.55","12,876.75","2.97B","1.86%"
"06-06-2024","12,902.20","12,857.55","12,962.90","12,805.85","3.05B","1.27%"
"05-06-2024","12,740.60","12,442.15","12,764.20","12,177.95","4.69B","3.68%"
"04-06-2024","12,288.15","13,151.35","13,151.35","11,878.65","7.99B","-6.79%"
"03-06-2024","13,183.85","13,243.40","13,243.40","13,071.90","4.20B","3.46%"
"31-05-2024","12,742.80","12,763.20","12,791.60","12,687.90","5.66B","0.27%"
"30-05-2024","12,708.30","12,800.30","12,839.30","12,671.40","2.62B","-1.00%"
"29-05-2024","12,836.45","12,862.75","12,902.40","12,827.75","1.89B","-0.71%"
"28-05-2024","12,928.10","13,013.20","13,022.95","12,905.75","2.08B","-0.44%"
"27-05-2024","12,985.40","13,034.10","13,062.75","12,957.40","2.77B","0.03%"
"24-05-2024","12,981.65","12,975.00","13,028.75","12,953.85","4.63B","-0.01%"
"23-05-2024","12,982.40","12,835.55","12,993.20","12,820.60","2.83B","1.32%"
"22-05-2024","12,813.50","12,818.30","12,828.95","12,733.10","2.21B","0.26%"
"21-05-2024","12,780.45","12,719.75","12,804.75","12,710.75","2.74B","0.28%"
"18-05-2024","12,744.75","12,741.75","12,751.40","12,724.95","357.29B","0.31%"
"17-05-2024","12,705.15","12,658.95","12,714.70","12,631.70","2.08B","0.50%"
"16-05-2024","12,641.70","12,594.70","12,655.95","12,467.10","1.99B","0.90%"
"15-05-2024","12,528.65","12,536.95","12,570.65","12,493.00","1.73B","0.21%"
"14-05-2024","12,502.85","12,425.30","12,522.55","12,401.35","2.13B","0.75%"
"13-05-2024","12,410.00","12,378.90","12,427.50","12,216.40","1.94B","0.24%"
"10-05-2024","12,380.55","12,340.10","12,395.30","12,295.90","1.76B","0.57%"
"09-05-2024","12,309.90","12,496.75","12,531.80","12,294.75","2.17B","-1.66%"
"08-05-2024","12,517.40","12,442.90","12,554.55","12,404.35","2.24B","0.34%"
"07-05-2024","12,475.00","12,630.30","12,632.30","12,425.10","3.21B","-1.01%"
"06-05-2024","12,601.75","12,698.30","12,701.70","12,571.20","2.55B","-0.39%"
"03-05-2024","12,651.15","12,795.20","12,807.75","12,573.10","3.44B","-0.62%"
"02-05-2024","12,730.55","12,675.10","12,756.50","12,674.70","2.73B","0.45%"
"30-04-2024","12,673.15","12,708.20","12,769.60","12,656.25","2.97B","-0.02%"
"29-04-2024","12,675.20","12,608.35","12,681.45","12,575.40","3.37B","0.83%"
"26-04-2024","12,570.30","12,632.15","12,638.75","12,553.75","5.79B","-0.23%"
"25-04-2024","12,599.70","12,486.00","12,618.10","12,482.75","3.80B","0.66%"
"24-04-2024","12,516.55","12,515.45","12,543.95","12,504.60","3.02B","0.31%"
"23-04-2024","12,478.35","12,508.55","12,508.65","12,464.00","4.19B","0.30%"
"22-04-2024","12,441.40","12,436.95","12,460.10","12,369.70","3.13B","0.94%"
"19-04-2024","12,325.85","12,197.30","12,350.75","12,119.00","2.21B","0.35%"
"18-04-2024","12,282.70","12,405.70","12,464.25","12,261.85","2.41B","-0.56%"
"16-04-2024","12,351.45","12,325.50","12,393.50","12,304.35","2.53B","-0.37%"
"15-04-2024","12,397.40","12,417.85","12,489.90","12,352.10","2.53B","-1.29%"
"12-04-2024","12,559.30","12,641.95","12,672.65","12,554.10","2.70B","-0.89%"
"10-04-2024","12,671.80","12,640.50","12,682.55","12,619.85","1.96B","0.60%"
