Date,StockList
2015-10-16,"['AUROPHARMA', 'BRITANNIA', 'MARUTI', 'ASHOKLEY', 'TORNTPHARM', 'INDUSINDBK', 'ZYDUSLIFE', 'KEI', 'NBCC', 'ASIANPAINT']"
2015-11-18,"['AUROPHARMA', 'MARUTI', 'KEI', 'ASHOKLEY', 'BEL', 'PEL', 'TORNTPHARM', 'ZYDUSLIFE', 'COFORGE', 'AARTIIND']"
2015-12-17,"['AUROPHARMA', 'MARUTI', 'APOLLOHOSP', 'BEL', 'COFORGE', 'KEI', 'BAJFINANCE', 'INDUSINDBK', 'TVSMOTOR', 'BAJAJFINSV']"
2016-01-15,"['AUROPHARMA', 'KEI', 'BAJFINANCE', 'BEL', 'BPCL', 'HINDPETRO', 'INFY', 'MARICO', 'TVSMOTOR', 'BIOCON']"
2016-02-15,"['APOLLOHOSP', 'BAJFINANCE', 'ASHOKLEY', 'SUPREMEIND', 'MARICO', 'TVSMOTOR', 'PETRONET', 'SJVN', 'CHOLAFIN', 'TATAELXSI']"
2016-03-15,"['BAJFINANCE', 'PIDILITIND', 'RELIANCE', 'MARICO', 'TVSMOTOR', 'PETRONET', 'AARTIIND', 'EICHERMOT', 'SUPREMEIND', 'HAVELLS']"
2016-04-18,"['BAJFINANCE', 'TVSMOTOR', 'INFY', 'PIDILITIND', 'RELIANCE', 'MARICO', 'PETRONET', 'BIOCON', 'SJVN', 'AARTIIND']"
2016-05-17,"['BAJFINANCE', 'BPCL', 'INFY', 'PIDILITIND', 'PETRONET', 'ABB', 'ASHOKLEY', 'ASIANPAINT', 'HINDPETRO', 'TRENT']"
2016-06-14,"['BAJFINANCE', 'GODREJCP', 'PETRONET', 'ASIANPAINT', 'BPCL', 'TRENT', 'PIDILITIND', 'SUPREMEIND', 'BSOFT', 'HAVELLS']"
2016-07-13,"['POONAWALLA', 'ASIANPAINT', 'SUPREMEIND', 'GODREJCP', 'PETRONET', 'BAJFINANCE', 'BPCL', 'CHAMBLFERT', 'KOTAKBANK', 'TRENT']"
2016-08-10,"['POONAWALLA', 'ASIANPAINT', 'BAJFINANCE', 'PIDILITIND', 'SUPREMEIND', 'PETRONET', 'BIOCON', 'BPCL', 'KOTAKBANK', 'TRENT']"
2016-09-09,"['PETRONET', 'ASIANPAINT', 'BAJFINANCE', 'BPCL', 'SHREECEM', 'SUPREMEIND', 'SHRIRAMFIN', 'BIOCON', 'NTPC', 'POWERGRID']"
2016-10-10,"['PETRONET', 'ASIANPAINT', 'BAJFINANCE', 'SUPREMEIND', 'BIOCON', 'POWERGRID', 'NHPC', 'POONAWALLA', 'BPCL', 'HEROMOTOCO']"
2016-11-10,"['PETRONET', 'BIOCON', 'MANAPPURAM', 'BALKRISIND', 'BPCL', 'HINDPETRO', 'VEDL', 'MOTHERSON', 'MARUTI', 'NTPC']"
2016-12-09,"['PETRONET', 'HINDPETRO', 'VEDL', 'BIOCON', 'POWERGRID', 'NMDC', 'BALKRISIND', 'HINDALCO', 'TATASTEEL', 'IGL']"
2017-01-06,"['VEDL', 'BIOCON', 'YESBANK', 'BALKRISIND', 'BPCL', 'HINDPETRO', 'ONGC', 'NTPC', 'POWERGRID', 'NMDC']"
2017-02-06,"['VEDL', 'YESBANK', 'UPL', 'BIOCON', 'NMDC', 'BALKRISIND', 'BPCL', 'CESC', 'CHAMBLFERT', 'HINDALCO']"
2017-03-07,"['VEDL', 'BIOCON', 'YESBANK', 'BALKRISIND', 'CESC', 'HINDALCO', 'HINDPETRO', 'IOC', 'TATACONSUM', 'UPL']"
2017-04-06,"['VEDL', 'YESBANK', 'BALKRISIND', 'CESC', 'HINDALCO', 'TATAPOWER', 'IGL', 'PETRONET', 'BIOCON', 'MANAPPURAM']"
2017-05-08,"['YESBANK', 'BALKRISIND', 'CESC', 'EXIDEIND', 'PETRONET', 'RECLTD', 'TATACONSUM', 'BPCL', 'FEDERALBNK', 'HINDPETRO']"
2017-06-05,"['BALKRISIND', 'BPCL', 'CESC', 'HINDALCO', 'HINDPETRO', 'IOC', 'LICHSGFIN', 'PETRONET', 'ASIANPAINT', 'BHARATFORG']"
2017-07-04,"['BALKRISIND', 'HINDALCO', 'LICHSGFIN', 'MOTHERSON', 'PETRONET', 'KEI', 'NBCC', 'AARTIIND', 'PEL', 'TATACHEM']"
2017-08-01,"['BALKRISIND', 'HINDALCO', 'VEDL', 'MOTHERSON', 'KEI', 'NBCC', 'AARTIIND', 'BHARATFORG', 'BPCL', 'HINDPETRO']"
2017-08-31,"['HINDALCO', 'VEDL', 'MOTHERSON', 'TVSMOTOR', 'KEI', 'BPCL', 'CHAMBLFERT', 'HINDUNILVR', 'HINDPETRO', 'RELIANCE']"
2017-09-28,"['HINDALCO', 'VEDL', 'TVSMOTOR', 'KEI', 'CHAMBLFERT', 'HINDUNILVR', 'TATASTEEL', 'MOTHERSON', 'MPHASIS', 'JSL']"
2017-10-30,"['HINDALCO', 'TVSMOTOR', 'KEI', 'ASTRAL', 'VEDL', 'CHAMBLFERT', 'HINDUNILVR', 'TATASTEEL', 'MOTHERSON', 'MPHASIS']"
2017-11-27,"['TVSMOTOR', 'HINDUNILVR', 'MOTHERSON', 'MPHASIS', 'KEI', 'ASTRAL', 'NBCC', 'ADANIENT', 'BHARATFORG', 'BRITANNIA']"
2017-12-26,"['TVSMOTOR', 'KEI', 'ASTRAL', 'BRITANNIA', 'HDFCBANK', 'HINDUNILVR', 'TATACHEM', 'MOTHERSON', 'MPHASIS', 'MARUTI']"
2018-01-23,"['HDFCBANK', 'HINDUNILVR', 'ASTRAL', 'NESTLEIND', 'BHARATFORG', 'BRITANNIA', 'HINDALCO', 'PIDILITIND', 'TATASTEEL', 'MOTHERSON']"
2018-02-22,"['BHARATFORG', 'MPHASIS', 'AARTIIND', 'ADANIENT', 'BRITANNIA', 'CHAMBLFERT', 'KOTAKBANK', 'PIDILITIND', 'CYIENT', 'JINDALSTEL']"
2018-03-23,"['BRITANNIA', 'MPHASIS', 'PHOENIXLTD', 'CHAMBLFERT', 'CHOLAFIN', 'DIVISLAB', 'NAUKRI', 'ASTRAL', 'NESTLEIND', 'PIDILITIND']"
2018-04-24,"['MPHASIS', 'DIVISLAB', 'PHOENIXLTD', 'AARTIIND', 'BHARATFORG', 'BRITANNIA', 'CHAMBLFERT', 'CHOLAFIN', 'HDFCBANK', 'HINDUNILVR']"
2018-05-23,"['MPHASIS', 'PHOENIXLTD', 'AARTIIND', 'BRITANNIA', 'DABUR', 'HDFCBANK', 'HINDUNILVR', 'TITAN', 'TECHM', 'PAGEIND']"
2018-06-20,"['MPHASIS', 'TECHM', 'BRITANNIA', 'CHOLAFIN', 'DABUR', 'HDFCBANK', 'HINDUNILVR', 'BSOFT', 'NESTLEIND', 'JUBLFOOD']"
2018-07-18,"['MPHASIS', 'BRITANNIA', 'EXIDEIND', 'DABUR', 'HDFCBANK', 'HINDUNILVR', 'BSOFT', 'NESTLEIND', 'JUBLFOOD', 'BAJFINANCE']"
2018-08-16,"['EXIDEIND', 'MPHASIS', 'NESTLEIND', 'BRITANNIA', 'DABUR', 'HINDUNILVR', 'BSOFT', 'TECHM', 'PAGEIND', 'ASTRAL']"
2018-09-17,"['MPHASIS', 'NAUKRI', 'DABUR', 'INFY', 'M&M', 'SRF', 'BSOFT', 'HCLTECH', 'DIVISLAB', 'COFORGE']"
2018-10-17,"['INFY', 'NAUKRI', 'ADANIENT', 'DIVISLAB', 'TECHM', 'ICICIBANK', 'DRREDDY', 'WIPRO', 'BIOCON', 'AUROPHARMA']"
2018-11-16,"['ADANIENT', 'HINDALCO', 'HINDUNILVR', 'DIVISLAB', 'PETRONET', 'TECHM', 'NESTLEIND', 'AARTIIND', 'BAJFINANCE', 'BRITANNIA']"
2018-12-17,"['ADANIENT', 'BAJFINANCE', 'EXIDEIND', 'DABUR', 'HINDUNILVR', 'INDHOTEL', 'INFY', 'SRF', 'DIVISLAB', 'NAUKRI']"
2019-01-15,"['COFORGE', 'BAJFINANCE', 'BRITANNIA', 'EXIDEIND', 'DABUR', 'HINDUNILVR', 'INFY', 'GLENMARK', 'NAUKRI', 'NESTLEIND']"
2019-02-12,"['BAJFINANCE', 'COFORGE', 'INFY', 'NAUKRI', 'ASTRAL', 'MUTHOOTFIN', 'ASIANPAINT', 'CHAMBLFERT', 'DABUR', 'HINDUNILVR']"
2019-03-14,"['ASTRAL', 'ASIANPAINT', 'DABUR', 'SRF', 'AXISBANK', 'DIVISLAB', 'TCS', 'NAUKRI', 'MUTHOOTFIN', 'CHAMBLFERT']"
2019-04-15,"['BAJFINANCE', 'AXISBANK', 'ASTRAL', 'BAJAJFINSV', 'ASIANPAINT', 'HDFCBANK', 'RELIANCE', 'SHREECEM', 'SRF', 'TORNTPHARM']"
2019-05-17,"['BAJFINANCE', 'INFY', 'AXISBANK', 'ASTRAL', 'BAJAJFINSV', 'FEDERALBNK', 'HDFCBANK', 'SHREECEM', 'SRF', 'TCS']"
2019-06-17,"['BAJFINANCE', 'FEDERALBNK', 'SHREECEM', 'SRF', 'ASTRAL', 'BAJAJFINSV', 'HDFCBANK', 'INFY', 'TITAN', 'AXISBANK']"
2019-07-15,"['BAJFINANCE', 'SHREECEM', 'FEDERALBNK', 'UPL', 'ASTRAL', 'MUTHOOTFIN', 'PIIND', 'HDFCBANK', 'INFY', 'DIVISLAB']"
2019-08-13,"['SRF', 'BHARTIARTL', 'PIIND', 'INFY', 'NAUKRI', 'TORNTPOWER', 'PETRONET', 'AARTIIND', 'TRENT', 'PIDILITIND']"
2019-09-13,"['SRF', 'BAJFINANCE', 'TITAN', 'PIIND', 'INFY', 'TRENT', 'PIDILITIND', 'TATACONSUM', 'MARICO', 'COFORGE']"
2019-10-15,"['BAJFINANCE', 'TITAN', 'HDFCBANK', 'TRENT', 'SUPREMEIND', 'BHARTIARTL', 'ASTRAL', 'BAJAJFINSV', 'NESTLEIND', 'MANAPPURAM']"
2019-11-14,"['BAJFINANCE', 'HDFCBANK', 'TRENT', 'BAJAJFINSV', 'NESTLEIND', 'MANAPPURAM', 'PIIND', 'MCX', 'KOTAKBANK', 'SRF']"
2019-12-12,"['BAJFINANCE', 'MCX', 'HDFCBANK', 'TRENT', 'TATACONSUM', 'COFORGE', 'BAJAJFINSV', 'NESTLEIND', 'MANAPPURAM', 'PRESTIGE']"
2020-01-10,"['TATACONSUM', 'PIIND', 'BAJFINANCE', 'TRENT', 'ICICIBANK', 'BHARTIARTL', 'BAJAJFINSV', 'MANAPPURAM', 'PRESTIGE', 'MCX']"
2020-02-07,"['TATACONSUM', 'BAJFINANCE', 'CHOLAFIN', 'TRENT', 'SHREECEM', 'SRF', 'TATACHEM', 'ICICIBANK', 'BHARTIARTL', 'BAJAJFINSV']"
2020-03-09,"['TRENT', 'BHARTIARTL', 'BALKRISIND', 'SRF', 'NESTLEIND', 'PERSISTENT', 'PIIND', 'DRREDDY', 'MFSL', 'PIDILITIND']"
2020-04-09,"['NESTLEIND', 'TORNTPHARM', 'DIVISLAB', 'DABUR', 'DRREDDY', 'IGL', 'HINDUNILVR', 'BIOCON', 'GRANULES', 'BHARTIARTL']"
2020-05-12,"['TATACONSUM', 'TORNTPHARM', 'NESTLEIND', 'BHARTIARTL', 'DIVISLAB', 'DRREDDY', 'SRF', 'IGL', 'TORNTPOWER', 'MUTHOOTFIN']"
2020-06-10,"['TATACONSUM', 'TORNTPHARM', 'DIVISLAB', 'BALKRISIND', 'DRREDDY', 'BHARTIARTL', 'IGL', 'TORNTPOWER', 'MUTHOOTFIN', 'RELIANCE']"
2020-07-08,"['BALKRISIND', 'DRREDDY', 'TATACONSUM', 'NESTLEIND', 'SUNPHARMA', 'TATACHEM', 'LUPIN', 'BHARTIARTL', 'BIOCON', 'TORNTPOWER']"
2020-08-05,"['BALKRISIND', 'MFSL', 'TATAELXSI', 'TATACONSUM', 'TORNTPHARM', 'DIVISLAB', 'PERSISTENT', 'MUTHOOTFIN', 'AUROPHARMA', 'DABUR']"
2020-09-02,"['BALKRISIND', 'MFSL', 'DIVISLAB', 'PERSISTENT', 'MUTHOOTFIN', 'DRREDDY', 'TATACONSUM', 'TORNTPHARM', 'BIOCON', 'PIIND']"
2020-09-30,"['MFSL', 'TATAELXSI', 'TATACONSUM', 'DIVISLAB', 'PERSISTENT', 'BALKRISIND', 'RELIANCE', 'TATACOMM', 'BIOCON', 'NAUKRI']"
2020-10-29,"['MFSL', 'TATAELXSI', 'PERSISTENT', 'DRREDDY', 'BSOFT', 'DIVISLAB', 'JSWSTEEL', 'GRANULES', 'NAUKRI', 'MUTHOOTFIN']"
2020-11-26,"['TATAELXSI', 'DIVISLAB', 'ASIANPAINT', 'BHARATFORG', 'HEROMOTOCO', 'MFSL', 'SUPREMEIND', 'TATACOMM', 'BIOCON', 'JSWSTEEL']"
2020-12-28,"['HEROMOTOCO', 'SUPREMEIND', 'DIVISLAB', 'APOLLOHOSP', 'ASIANPAINT', 'BHARATFORG', 'CHAMBLFERT', 'INFY', 'MFSL', 'SIEMENS']"
2021-01-25,"['HEROMOTOCO', 'SUPREMEIND', 'DIVISLAB', 'ADANIENT', 'APOLLOHOSP', 'ASIANPAINT', 'BHARATFORG', 'CHAMBLFERT', 'CGPOWER', 'INFY']"
2021-02-23,"['HEROMOTOCO', 'MFSL', 'SUPREMEIND', 'ADANIENT', 'APOLLOHOSP', 'BHARATFORG', 'CGPOWER', 'INFY', 'VEDL', 'SIEMENS']"
2021-03-24,"['SUPREMEIND', 'ADANIENT', 'APOLLOHOSP', 'CGPOWER', 'MFSL', 'VEDL', 'SIEMENS', 'TATAELXSI', 'VOLTAS', 'TVSMOTOR']"
2021-04-27,"['ADANIENT', 'VEDL', 'SUPREMEIND', 'TCS', 'PERSISTENT', 'APLAPOLLO', 'ACC', 'APOLLOHOSP', 'BHARATFORG', 'CHOLAFIN']"
2021-05-26,"['ADANIENT', 'APLAPOLLO', 'CHOLAFIN', 'CGPOWER', 'VEDL', 'SIEMENS', 'SUPREMEIND', 'CYIENT', 'TCS', 'PERSISTENT']"
2021-06-23,"['ADANIENT', 'CGPOWER', 'VEDL', 'SIEMENS', 'SUPREMEIND', 'CYIENT', 'TCS', 'PERSISTENT', 'APLAPOLLO', 'BHARATFORG']"
2021-07-22,"['ADANIENT', 'GRASIM', 'SIEMENS', 'CYIENT', 'TCS', 'PERSISTENT', 'APLAPOLLO', 'BHARATFORG', 'CGPOWER', 'MFSL']"
