Date,StockList
2015-09-15,"['BRITANNIA', 'LUPIN', 'MARUTI', 'DRREDDY', 'CUMMINSIND', 'TORNTPHARM']"
2015-09-24,"['AUROPHARMA', 'MARUTI', 'SOLARINDS', 'DRREDDY', 'CUMMINSIND', 'ASHOKLEY']"
2015-10-06,"['TORNTPHARM', 'AUROPHARMA', 'BRITANNIA', 'CUMMINSIND', 'MARUTI', 'DRREDDY']"
2015-10-14,"['BRITANNIA', 'CUMMINSIND', 'TORNTPHARM', 'INDUSINDBK', 'AUROPHARMA', 'MARUTI']"
2015-10-23,"['INDUSINDBK', 'CUMMINSIND', 'MARUTI', 'AUROPHARMA', 'BRITANNIA', 'TORNTPHARM']"
2015-11-02,"['INDUSINDBK', 'LUPIN', 'AUROPHARMA', 'BRITANNIA', 'TORNTPHARM', 'MARUTI']"
2015-11-10,"['AUROPHARMA', 'KEI', 'ASHOKLEY', 'MFSL', 'TORNTPHARM', 'OFSS']"
2015-11-20,"['AUROPHARMA', 'INDUSINDBK', 'ASHOKLEY', 'TORNTPHARM', 'OFSS', 'MARUTI']"
2015-12-01,"['AUROPHARMA', 'INDUSINDBK', 'OFSS', 'MARUTI', 'ASHOKLEY', 'MFSL']"
2015-12-09,"['AUROPHARMA', 'INDUSINDBK', 'MARUTI', 'KEI', 'BEL', 'TATAELXSI']"
2015-12-17,"['AUROPHARMA', 'INDUSINDBK', 'MARUTI', 'KEI', 'GODREJCP', 'BAJFINANCE']"
2015-12-28,"['INDUSINDBK', 'MARUTI', 'KEI', 'AUROPHARMA', 'CHOLAFIN', 'DABUR']"
2016-01-05,"['INDUSINDBK', 'MARUTI', 'KEI', 'ASHOKLEY', 'AUROPHARMA', 'DABUR']"
2016-01-13,"['INDUSINDBK', 'KEI', 'ASHOKLEY', 'AUROPHARMA', 'GODREJCP', 'ASIANPAINT']"
2016-01-21,"['KEI', 'BAJFINANCE', 'SUPREMEIND', 'TRENT', 'BIOCON', 'APLAPOLLO']"
2016-02-01,"['SUPREMEIND', 'KEI', 'BAJFINANCE', 'ASHOKLEY', 'ASIANPAINT', 'PEL']"
2016-02-09,"['SUPREMEIND', 'KEI', 'BAJFINANCE', 'PEL', 'ASIANPAINT', 'HAVELLS']"
2016-02-17,"['SUPREMEIND', 'BAJFINANCE', 'IGL', 'APOLLOHOSP', 'ASHOKLEY', 'PETRONET']"
2016-02-25,"['BAJFINANCE', 'APOLLOHOSP', 'NHPC', 'MARICO', 'TORNTPOWER', 'CHOLAFIN']"
2016-03-04,"['BAJFINANCE', 'INFY', 'SUPREMEIND', 'IGL', 'ASHOKLEY', 'CHOLAFIN']"
2016-03-15,"['BAJFINANCE', 'INFY', 'SUPREMEIND', 'AARTIIND', 'PETRONET', 'CHOLAFIN']"
2016-03-23,"['BAJFINANCE', 'HEROMOTOCO', 'SUPREMEIND', 'IGL', 'POWERGRID', 'NHPC']"
2016-04-04,"['BAJFINANCE', 'EICHERMOT', 'BIOCON', 'ASHOKLEY', 'HEROMOTOCO', 'SUPREMEIND']"
2016-04-12,"['BAJFINANCE', 'EICHERMOT', 'KEI', 'ASHOKLEY', 'BIOCON', 'AARTIIND']"
2016-04-25,"['BAJFINANCE', 'ASHOKLEY', 'EICHERMOT', 'GODREJCP', 'JSWSTEEL', 'HFCL']"
2016-05-03,"['BAJFINANCE', 'ASHOKLEY', 'EICHERMOT', 'HEROMOTOCO', 'INDUSINDBK', 'GODREJCP']"
2016-05-11,"['BAJFINANCE', 'ASHOKLEY', 'EICHERMOT', 'HEROMOTOCO', 'INDUSINDBK', 'BAJAJ-AUTO']"
2016-05-19,"['BAJFINANCE', 'INDUSINDBK', 'HEROMOTOCO', 'HINDPETRO', 'GODREJCP', 'JSWSTEEL']"
2016-05-27,"['INDUSINDBK', 'BAJFINANCE', 'JSWSTEEL', 'KEI', 'HINDPETRO', 'SUPREMEIND']"
2016-06-06,"['INDUSINDBK', 'BAJFINANCE', 'SUPREMEIND', 'KEI', 'HINDPETRO', 'TATACOMM']"
2016-06-14,"['BAJFINANCE', 'INDUSINDBK', 'SUPREMEIND', 'TATACOMM', 'JSWSTEEL', 'INDHOTEL']"
2016-06-22,"['INDUSINDBK', 'SUPREMEIND', 'TATACOMM', 'JSWSTEEL', 'INDHOTEL', 'BAJFINANCE']"
2016-06-30,"['INDUSINDBK', 'INDHOTEL', 'JSWSTEEL', 'ASIANPAINT', 'BAJFINANCE', 'SUPREMEIND']"
2016-07-11,"['INDUSINDBK', 'INDHOTEL', 'JSWSTEEL', 'SUPREMEIND', 'TATACOMM', 'ACC']"
2016-07-19,"['INDHOTEL', 'INDUSINDBK', 'JSWSTEEL', 'EXIDEIND', 'SUPREMEIND', 'TATACOMM']"
2016-07-27,"['INDHOTEL', 'JSWSTEEL', 'SUPREMEIND', 'INDUSINDBK', 'BAJFINANCE', 'EXIDEIND']"
2016-08-04,"['INDHOTEL', 'JSWSTEEL', 'SUPREMEIND', 'INDUSINDBK', 'BAJFINANCE', 'EXIDEIND']"
2016-08-12,"['JSWSTEEL', 'INDHOTEL', 'EXIDEIND', 'SUPREMEIND', 'BAJFINANCE', 'PEL']"
2016-08-23,"['INDHOTEL', 'JSWSTEEL', 'EXIDEIND', 'SUPREMEIND', 'BAJFINANCE', 'IOC']"
2016-08-31,"['INDHOTEL', 'JSWSTEEL', 'BAJFINANCE', 'IOC', 'SUPREMEIND', 'PETRONET']"
2016-09-09,"['BAJFINANCE', 'INDHOTEL', 'PETRONET', 'JSWSTEEL', 'NTPC', 'PEL']"
2016-09-20,"['PETRONET', 'JSWSTEEL', 'BAJFINANCE', 'TATACOMM', 'MANAPPURAM', 'NTPC']"
2016-09-28,"['INDHOTEL', 'BAJFINANCE', 'TATACOMM', 'PETRONET', 'JSWSTEEL', 'SUPREMEIND']"
2016-10-06,"['BAJFINANCE', 'INDHOTEL', 'PETRONET', 'JSWSTEEL', 'PEL', 'TATACOMM']"
2016-10-18,"['BAJFINANCE', 'PETRONET', 'JSWSTEEL', 'MANAPPURAM', 'EICHERMOT', 'INDHOTEL']"
2016-10-26,"['BAJFINANCE', 'PETRONET', 'MANAPPURAM', 'EICHERMOT', 'TATACOMM', 'BAJAJFINSV']"
2016-11-04,"['EICHERMOT', 'PETRONET', 'MANAPPURAM', 'EXIDEIND', 'IOC', 'TATACOMM']"
2016-11-15,"['PETRONET', 'TATACOMM', 'NMDC', 'VEDL', 'TATASTEEL', 'TVSMOTOR']"
2016-11-23,"['IOC', 'PETRONET', 'NMDC', 'VEDL', 'TATACOMM', 'HINDPETRO']"
2016-12-01,"['NMDC', 'VEDL', 'IOC', 'TATASTEEL', 'TATACOMM', 'PETRONET']"
2016-12-09,"['NMDC', 'ONGC', 'VEDL', 'PETRONET', 'HINDALCO', 'HINDPETRO']"
2016-12-19,"['ONGC', 'VEDL', 'TATACOMM', 'PETRONET', 'NTPC', 'NMDC']"
2016-12-27,"['ONGC', 'VEDL', 'TATACOMM', 'NTPC', 'NMDC', 'OIL']"
2017-01-04,"['EXIDEIND', 'ONGC', 'VEDL', 'NTPC', 'NMDC', 'TATACOMM']"
2017-01-12,"['EXIDEIND', 'EICHERMOT', 'NMDC', 'PETRONET', 'BAJAJFINSV', 'ONGC']"
2017-01-20,"['EXIDEIND', 'EICHERMOT', 'BAJAJFINSV', 'NTPC', 'NMDC', 'MARUTI']"
2017-01-31,"['EXIDEIND', 'EICHERMOT', 'NMDC', 'MARUTI', 'PETRONET', 'BAJAJFINSV']"
2017-02-08,"['EXIDEIND', 'EICHERMOT', 'MANAPPURAM', 'NMDC', 'MARUTI', 'BAJAJFINSV']"
2017-02-16,"['EXIDEIND', 'NMDC', 'EICHERMOT', 'BAJAJFINSV', 'TATACOMM', 'MARUTI']"
2017-02-27,"['EXIDEIND', 'BAJAJFINSV', 'NMDC', 'EICHERMOT', 'TATACOMM', 'MARUTI']"
2017-03-07,"['EXIDEIND', 'BAJAJFINSV', 'TATACOMM', 'YESBANK', 'MANAPPURAM', 'APLAPOLLO']"
2017-03-16,"['EXIDEIND', 'BAJAJFINSV', 'YESBANK', 'MANAPPURAM', 'HDFCBANK', 'TATACOMM']"
2017-03-24,"['EXIDEIND', 'BAJAJFINSV', 'HDFCBANK', 'PETRONET', 'YESBANK', 'MANAPPURAM']"
2017-04-03,"['EXIDEIND', 'BAJAJFINSV', 'YESBANK', 'MANAPPURAM', 'HDFCBANK', 'TATACOMM']"
2017-04-12,"['EXIDEIND', 'BAJAJFINSV', 'YESBANK', 'HDFCBANK', 'RECLTD', 'OIL']"
2017-04-21,"['BAJAJFINSV', 'EXIDEIND', 'YESBANK', 'RECLTD', 'HDFCBANK', 'PETRONET']"
2017-05-02,"['EXIDEIND', 'YESBANK', 'RECLTD', 'BAJAJFINSV', 'HDFCBANK', 'VEDL']"
2017-05-10,"['EXIDEIND', 'YESBANK', 'RECLTD', 'BAJAJFINSV', 'HDFCBANK', 'BAJFINANCE']"
2017-05-18,"['EXIDEIND', 'HDFCBANK', 'RECLTD', 'BAJAJFINSV', 'APLAPOLLO', 'TVSMOTOR']"
2017-05-26,"['RECLTD', 'EXIDEIND', 'HDFCBANK', 'APLAPOLLO', 'IOC', 'VEDL']"
2017-06-05,"['RECLTD', 'BAJAJFINSV', 'EXIDEIND', 'HDFCBANK', 'TVSMOTOR', 'UNIONBANK']"
2017-06-13,"['BAJAJFINSV', 'HDFCBANK', 'TVSMOTOR', 'EXIDEIND', 'VEDL', 'PETRONET']"
2017-06-21,"['HDFCBANK', 'TVSMOTOR', 'BAJAJFINSV', 'VEDL', 'MARUTI', 'PETRONET']"
2017-06-30,"['HDFCBANK', 'TVSMOTOR', 'MARUTI', 'BAJFINANCE', 'LTF', 'EICHERMOT']"
2017-07-10,"['HDFCBANK', 'TVSMOTOR', 'MARUTI', 'LTF', 'BAJFINANCE', 'JSL']"
2017-07-18,"['HDFCBANK', 'TVSMOTOR', 'LTF', 'BAJFINANCE', 'MARUTI', 'BAJAJFINSV']"
2017-07-26,"['HDFCBANK', 'TVSMOTOR', 'LTF', 'BAJFINANCE', 'VEDL', 'MARUTI']"
2017-08-03,"['HDFCBANK', 'TVSMOTOR', 'LTF', 'APLAPOLLO', 'BAJFINANCE', 'BRITANNIA']"
2017-08-11,"['TVSMOTOR', 'HDFCBANK', 'LTF', 'APLAPOLLO', 'BAJFINANCE', 'BRITANNIA']"
2017-08-22,"['HDFCBANK', 'TVSMOTOR', 'LTF', 'VEDL', 'APLAPOLLO', 'BAJFINANCE']"
2017-08-31,"['HDFCBANK', 'TVSMOTOR', 'LTF', 'BAJFINANCE', 'BRITANNIA', 'VEDL']"
2017-09-08,"['HDFCBANK', 'TVSMOTOR', 'LTF', 'BAJFINANCE', 'BRITANNIA', 'MARUTI']"
2017-09-18,"['HDFCBANK', 'TVSMOTOR', 'LTF', 'BRITANNIA', 'VEDL', 'MARUTI']"
2017-09-26,"['HDFCBANK', 'TVSMOTOR', 'LTF', 'BRITANNIA', 'VEDL', 'WIPRO']"
2017-10-05,"['HDFCBANK', 'LTF', 'BRITANNIA', 'TVSMOTOR', 'VEDL', 'IGL']"
2017-10-13,"['HDFCBANK', 'BRITANNIA', 'LTF', 'TVSMOTOR', 'IGL', 'APLAPOLLO']"
2017-10-24,"['HDFCBANK', 'BRITANNIA', 'LTF', 'TVSMOTOR', 'APLAPOLLO', 'BAJFINANCE']"
2017-11-01,"['HDFCBANK', 'BRITANNIA', 'TVSMOTOR', 'IGL', 'LTF', 'APLAPOLLO']"
2017-11-09,"['HDFCBANK', 'BRITANNIA', 'TVSMOTOR', 'IGL', 'PRESTIGE', 'LTF']"
2017-11-17,"['HDFCBANK', 'BRITANNIA', 'IGL', 'PRESTIGE', 'WIPRO', 'TVSMOTOR']"
2017-11-27,"['HDFCBANK', 'BRITANNIA', 'PRESTIGE', 'TVSMOTOR', 'IGL', 'ADANIENT']"
2017-12-05,"['HDFCBANK', 'BRITANNIA', 'PRESTIGE', 'ADANIENT', 'TITAN', 'JINDALSTEL']"
2017-12-13,"['HDFCBANK', 'BRITANNIA', 'PRESTIGE', 'ADANIENT', 'TITAN', 'JINDALSTEL']"
2017-12-21,"['HDFCBANK', 'BRITANNIA', 'PRESTIGE', 'TVSMOTOR', 'TITAN', 'JINDALSTEL']"
2018-01-01,"['HDFCBANK', 'BRITANNIA', 'PRESTIGE', 'TITAN', 'JINDALSTEL', 'TVSMOTOR']"
2018-01-09,"['HDFCBANK', 'BRITANNIA', 'TITAN', 'TVSMOTOR', 'PRESTIGE', 'JINDALSTEL']"
2018-01-17,"['HDFCBANK', 'BRITANNIA', 'TITAN', 'TVSMOTOR', 'PRESTIGE', 'KOTAKBANK']"
2018-01-25,"['HDFCBANK', 'PRESTIGE', 'GRASIM', 'TITAN', 'JINDALSTEL', 'MARUTI']"
2018-02-05,"['HDFCBANK', 'TITAN', 'JINDALSTEL', 'ADANIENT', 'KOTAKBANK', 'MARUTI']"
2018-02-14,"['HDFCBANK', 'BRITANNIA', 'JINDALSTEL', 'PRESTIGE', 'ADANIENT', 'KOTAKBANK']"
2018-02-22,"['KOTAKBANK', 'JINDALSTEL', 'ADANIENT', 'BRITANNIA', 'PRESTIGE', 'HINDUNILVR']"
2018-03-05,"['BRITANNIA', 'KOTAKBANK', 'JINDALSTEL', 'PRESTIGE', 'ADANIENT', 'JSWSTEEL']"
2018-03-13,"['BRITANNIA', 'JSWSTEEL', 'KOTAKBANK', 'TITAN', 'ASHOKLEY', 'CHAMBLFERT']"
2018-03-21,"['BRITANNIA', 'JSWSTEEL', 'KOTAKBANK', 'TITAN', 'CHAMBLFERT', 'ASTRAL']"
2018-04-02,"['BRITANNIA', 'HDFCBANK', 'KOTAKBANK', 'JSWSTEEL', 'CHAMBLFERT', 'TITAN']"
2018-04-10,"['BRITANNIA', 'JSWSTEEL', 'TITAN', 'ASHOKLEY', 'CHAMBLFERT', 'KOTAKBANK']"
2018-04-18,"['BRITANNIA', 'HDFCBANK', 'TITAN', 'JSWSTEEL', 'ASHOKLEY', 'CHAMBLFERT']"
2018-04-26,"['ASHOKLEY', 'BRITANNIA', 'HDFCBANK', 'TITAN', 'JSWSTEEL', 'JUBLFOOD']"
2018-05-07,"['BRITANNIA', 'TITAN', 'JSWSTEEL', 'LT', 'JUBLFOOD', 'ASHOKLEY']"
2018-05-15,"['BRITANNIA', 'TITAN', 'ASHOKLEY', 'SHRIRAMFIN', 'LT', 'JSWSTEEL']"
2018-05-23,"['BRITANNIA', 'TITAN', 'JUBLFOOD', 'ASHOKLEY', 'JSWSTEEL', 'KOTAKBANK']"
2018-05-31,"['BRITANNIA', 'JUBLFOOD', 'CHOLAFIN', 'LT', 'JSWSTEEL', 'HINDUNILVR']"
2018-06-08,"['BRITANNIA', 'JUBLFOOD', 'CHOLAFIN', 'JSWSTEEL', 'HINDUNILVR', 'KOTAKBANK']"
2018-06-18,"['BRITANNIA', 'JUBLFOOD', 'JSWSTEEL', 'CHOLAFIN', 'HINDUNILVR', 'TATAELXSI']"
2018-06-26,"['BRITANNIA', 'JUBLFOOD', 'JSWSTEEL', 'CHOLAFIN', 'HINDUNILVR', 'M&M']"
2018-07-04,"['BRITANNIA', 'JUBLFOOD', 'M&M', 'BAJFINANCE', 'HINDUNILVR', 'INFY']"
2018-07-12,"['BRITANNIA', 'JUBLFOOD', 'M&M', 'BAJFINANCE', 'CHOLAFIN', 'HINDUNILVR']"
2018-07-20,"['JUBLFOOD', 'BRITANNIA', 'BAJFINANCE', 'HINDUNILVR', 'INFY', 'M&M']"
2018-07-30,"['JUBLFOOD', 'BRITANNIA', 'TATAELXSI', 'HINDUNILVR', 'INFY', 'M&M']"
2018-08-07,"['JUBLFOOD', 'BRITANNIA', 'TATAELXSI', 'BSOFT', 'HINDUNILVR', 'M&M']"
2018-08-16,"['JUBLFOOD', 'BRITANNIA', 'TATAELXSI', 'BSOFT', 'INFY', 'TCS']"
2018-08-27,"['JUBLFOOD', 'TATAELXSI', 'BSOFT', 'DIVISLAB', 'COFORGE', 'BRITANNIA']"
